Num_operations,size,height,avg_node_depth,avg_time_operations
10,13,3,0.615385,0.0866667
100,103,6,1.92233,6.6
500,503,8,3.00199,80.1667
1000,1003,9,3.49551,405.667
2500,2503,11,4.18458,1223.33
5000,5003,12,4.68279,5171.67
7500,7503,12,4.95508,11995
10000,10003,13,5.18185,21476.7
15000,15003,13,5.45451,57580
20000,20003,14,5.68135,101373
